Idioteque,Radiohead
How to Disappear Completely,Radiohead
The National Anthem,Radiohead
Everything In Its Right Place,Radiohead
Fake Plastic Trees,Radiohead
High and Dry,Radiohead
Jigsaw Falling Into Place,Radiohead
All I Need,Radiohead
Karma Police,Radiohead
No Surprises,Radiohead
Chelsea Morning,Joni Mitchell
Blue,Joni Mitchell
Help Me,Joni Mitchell
Both Sides Now,Joni Mitchell
Big Yellow Taxi,Joni Mitchell
A Case of You,Joni Mitchell
California,Joni Mitchell
Turquoise,Joan Baez
You Ain't Goin' Nowhere,Joan Baez
If I Were a Carpenter,Joan Baez
Don't Think Twice, It's All Right,Joan Baez
Diamond and Rust,Joan Baez
Highway 61 Revisited,Bob Dylan
Ballad of a Thin Man,Bob Dylan
Like a Rolling Stone,Bob Dylan
Let It Be - Remastered 2009,The Beatles
The Other Sides of Summer,Elvis Costello
Accidents Will Happen,Elvis Costello & The Attractions
Oliver's Army,Elvis Costello & The Attractions
Pump It Up,Elvis Costello & The Attractions
Alison,Elvis Costello
Angel,Massive Attack
Bitter Sweet Symphony,The Verve
Sunday,The Cranberries
Dreams,The Cranberries
Zombie,The Cranberries
Linger,The Cranberries
Hounds Of Love,Kate Bush
Wuthering Heights,Kate Bush
Creep,Radiohead
Come On Eileen,Dexys Midnight Runners
Blue Monday,New Order
Let Down,Radiohead